county_name,year,tmax_mean_grow,tmin_mean_grow,frost_days_bloom,precip_total_grow,precip_rolling_30,precip_rolling_60,precip_rolling_90,temp_variance_grow,gdd_total_grow,precip_deviation,bearing_acres
DeSoto,2004,90.82352941176471,69.96638655462185,0,785.241,405.638,575.564,762.889,3.263555975799782,3617.0,57.46568571428588,
DeSoto,2005,89.84552845528455,71.84959349593495,0,854.8369999999999,391.03299999999996,603.758,799.8459999999999,4.253797763783237,3794.25,127.06168571428577,
DeSoto,2006,90.71138211382114,69.63414634146342,0,696.4679999999998,271.272,515.366,664.718,3.1349485119319502,3711.25,-31.307314285714256,
DeSoto,2007,90.66666666666667,69.8170731707317,3,472.567,161.29,305.054,417.322,3.8281028701824944,3719.75,-255.2083142857141,46798.0
DeSoto,2008,90.2520325203252,70.27642276422765,1,831.8499999999999,313.30899999999997,571.5,787.9079999999999,2.466475204286471,3722.5,104.0746857142858,
DeSoto,2009,90.95528455284553,71.40243902439025,7,778.6369999999998,286.00399999999996,488.061,648.0809999999999,2.8999774801848206,3835.0,50.86168571428573,
DeSoto,2010,91.41463414634147,72.82926829268293,8,779.272,292.73499999999996,487.80699999999996,683.641,2.7361479122739074,3951.0,51.496685714285945,
DeSoto,2011,91.8739837398374,70.6178861788618,2,674.751,276.22499999999997,515.112,614.6800000000001,3.0706126210555933,3843.25,-53.02431428571413,
DeSoto,2012,91.0691056910569,71.54471544715447,3,870.712,370.967,571.246,756.539,2.8409514130587996,3850.75,142.9366857142859,22046.0
DeSoto,2013,89.89837398373983,70.67479674796748,1,943.102,349.123,621.157,834.771,3.452819796559665,3725.25,215.32668571428587,
DeSoto,2014,91.72764227642277,71.08130081300813,1,580.5169999999999,220.98,362.585,473.71,2.795086461990279,3862.75,-147.25831428571416,
DeSoto,2015,90.7439024390244,70.54471544715447,1,853.3129999999999,298.95799999999997,533.781,789.813,3.0957174634250233,3769.25,125.53768571428577,
DeSoto,2016,91.1219512195122,71.48373983739837,0,795.528,290.449,468.62999999999994,651.5099999999999,3.2285493008106427,3850.25,67.75268571428592,
DeSoto,2017,91.36585365853658,71.46747967479675,0,1020.4449999999999,412.24199999999996,595.122,948.055,3.4617779301140956,3864.25,292.66968571428583,46935.0
DeSoto,2018,90.65853658536585,71.83333333333333,4,1032.51,402.971,610.997,837.3109999999999,3.137763817639862,3843.25,304.7346857142859,
DeSoto,2019,91.16666666666667,72.07317073170732,0,847.344,356.10799999999995,537.845,713.6129999999999,2.7014466879156203,3889.25,119.56868571428595,
DeSoto,2020,91.57723577235772,71.36178861788618,0,705.1039999999999,314.579,427.101,642.2389999999999,3.146708220392164,3870.75,-22.671314285714175,
DeSoto,2021,91.85365853658537,72.15447154471545,0,908.0500000000001,467.86800000000005,692.404,877.5699999999999,2.687807708131228,3936.5,180.27468571428597,
DeSoto,2022,91.85365853658537,72.82113821138212,2,840.2319999999999,311.15,513.0799999999999,667.2579999999999,2.8534791155315804,3977.5,112.45668571428575,42234.0
DeSoto,2023,93.130081300813,73.22764227642277,0,645.9219999999999,277.114,451.1039999999999,510.032,3.244059765760767,4081.0,-81.85331428571419,
DeSoto,2024,94.5691056910569,75.55284552845528,0,691.3879999999998,323.84999999999997,453.644,677.6719999999999,2.972776206508613,4312.5,-36.3873142857143,
Hendry,1990,91.63821138211382,70.89430894308943,0,754.8879999999999,283.71799999999996,513.7149999999999,684.784,3.0077092291992535,3845.75,63.88825714285713,
Hendry,1991,91.53658536585365,71.47154471544715,0,792.2259999999999,271.65299999999996,468.757,646.1759999999999,2.7573825879818337,3875.0,101.2262571428571,
Hendry,1992,89.89024390243902,69.3089430894309,0,803.91,498.7289999999999,578.1039999999999,777.1129999999999,3.9419645313286997,3640.75,112.91025714285718,
Hendry,1993,90.85537190082644,71.95867768595042,0,409.448,167.13199999999998,255.26999999999998,331.978,4.427865370078137,3800.25,-281.5517428571428,
Hendry,1994,90.60162601626017,69.76829268292683,0,569.341,305.181,420.751,527.812,2.4123651322137962,3712.75,-121.65874285714278,
Hendry,1995,90.74778761061947,70.64601769911505,1,759.714,424.43399999999997,613.7909999999999,710.3109999999999,3.478328245444846,3468.75,68.71425714285726,
Hendry,1996,89.89837398373983,71.08943089430895,2,772.5409999999999,344.932,515.62,656.463,2.737085435031554,3750.75,81.54125714285715,
